2, ban
2, bangladesh energy development projects
2, bangladesh finance
2, bangladesh power projects
2, bangladesh transport
2, bangladesh west zone power projects
2, bangladeshi children
2, banking sector
2, banking system
2, basic services
2, battambang
2, ben luc-long thanh expressway
2, bengaluru
2, bidding
2, bilateral trade
2, bond issuance
2, bond markets
2, bond yields
2, bonds outstanding
2, bridges construction
2, budget reform program
2, bureaucracy
2, bus rapid transit
2, business
2, business environment
2, business services
2, cambodia financial sector program
2, cambodian accounting standards
2, capital controls
2, capital expenditures
2, china clean energy
2, china energy
2, china public transport
2, china road projects
2, china urban development
2, china urban infrastructure
2, china urban transport
2, cities
2, civil society organizations
2, clean electricity
2, clean energy financing
2, clean energy fund
2, climate change resilience
2, climate mitigation
2, climate resilient infrastructure
2, climate-proofing
2, commercial farming
2, commercialization
2, communicable disease
2, communicable disease control
2, community infrastructures
2, community-driven development
2, conservation
2, consultation
2, contracts awarded
2, contracts on consulting services
2, contracts on grants
2, conventional energy
2, conventional energy generation
2, coronavirus pandemic
2, corporate social responsibility
2, countercyclical support
2, credit guarantee
2, credit guarantees
2, crisis recovery support program
2, crop productivity
2, cross-border infrastructure
2, cso
2, cyclone pam
2, cyclones
2, decentralized government
2, department of census and statistics
2, development effectiveness
2, development finance
2, development policy support program
2, dhaka
2, digital platforms
2, digital technology
2, disaster response
2, disaster risk
2, disaster risks management
2, district heating systems
2, district roads
2, dushanbe
2, earthquake
2, east asia
2, eastern indonesia
2, ebeye
2, economic corridors
2, economic data
2, economic diversification
2, economic indicators
2, economic integration
2, economic liberalization
2, economic outlook
2, economic performance
2, economic policy
2, economic recovery support program
2, economic reforms
2, ecosystem restoration
2, education reforms
2, education sector
2, electric vehicles
2, electricity demand
2, electricity transmission distribution
2, emerging east asia
2, employment generation
2, enabling business environment
2, energy absolute
2, energy access
2, energy efficiency and conservation
2, energy efficiency investments
2, energy efficiency projects
2, energy reforms
2, energy trade
2, energy utility services
2, engineering design
2, environmental management
2, equity
2, european union
2, evaluation
2, exchange rates
2, f-trta
2, farmers
2, fast report
2, federal reserve
2, financial crisis
2, financial indicators
2, financial institutions
2, financial intermediary
2, financial reform
2, financial sector
2, financial sector program ii cluster
2, financial sector programs
2, financial technology
2, fintech
2, fiscal risks
2, fiscal sustainability
2, fiscal transfers
2, flooding
2, food safety
2, food trade
2, forestry
2, fta
2, gansu
2, gas turbine
2, geographic information system
2, georgia transport
2, geothermal energy
2, global value chain
2, global value chains
2, global warming
2, gms highway modernization
2, government budget
2, government transparency
2, green bonds
2, green growth
2, green loan
2, greenhouse gases emission reduction
2, grid electricity
2, guangxi
2, guarantee facilities
2, health and social protection
2, health care
2, health care services
2, health emergencies
2, health finance
2, health improvement
2, health insurance
2, health programs
2, health reforms
2, health systems
2, heating services
2, hebei
2, heilongjiang
2, hierarchies
2, high-speed rail
2, hiv aids prevention
2, hydroelectric power plant
2, hydropower generation
2, hydropower plants
2, hyundai
2, ict services
2, inclusive social development
2, independent evaluation department
2, india road transport
2, indonesia infrastructure
2, indonesian capital market
2, industrial transformation
2, industry and trade sector development
2, inflation
2, infrastructure development projects
2, infrastructure investments
2, inner mongolia autonomous region
2, institutional capacity
2, international trade
2, investment management
2, involuntary resettlement
2, ipak yuli
2, irrigation infrastructures
2, irrigation networks
2, irrigation services
2, japan fund for poverty reduction
2, japan special fund
2, jobs
2, kampong thom
2, karakalpakstan
2, key indicators 2019
2, kgz
2, khulna
2, ki2019
2, korea
2, korea economy
2, kratie
2, kyrgyzstan water
2, labor market
2, labor migration
2, labor policy reforms
2, lake rehabilitation
2, land use planning
2, lao
2, lao cai
2, laotian institutional development
2, laotian macroeconomic stability maintenance programs
2, laotian private sector development plans
2, laotian small medium sized enterprises development program
2, laotian sme policy strategy
2, large hydropower generation
2, lg
2, livable cities
2, livelihood support
2, livelihoods
2, loan 3874
2, loan 3922
2, local government financing
2, logistics services
2, long thanh dau giay expressway
2, low-carbon development
2, lower mekong basin
2, macroeconomics
2, macroprudential policy
2, manpower
2, market development program
2, mass transport
2, mdgs
2, medium-sized enterprises
2, medium-term policy design
2, melamchi water supply project
2, micro
2, micro and small enterprises
2, microbusiness loans
2, microcredit programs
2, microenterprise
2, microfinance commercialization
2, millennium development goals
2, mongolia tourism
2, msme
2, msme lending
2, municipal infrastructures
2, myanmar connectivity improvement
2, national roads
2, nepal electricity
2, nepal water
2, ngo
2, niutao
2, nonrevenue water
2, november 2014 contracts
2, nutrition
2, oil
2, oil prices
2, outbreak
2, pacific countries
2, pak
2, pak basemap
2, performance evaluation
2, philippines development forum
2, philippines public sector
2, phils dpsp
2, phils electronic procurement system
2, piped water
2, policy reforms
2, pollution control
2, pollution prevention
2, port operations
2, power resources
2, power supply improvement
2, power trade
2, pre-primary education
2, primary education
2, private equity funds
2, private sector financing
2, private sector projects
2, process innovation
2, procurement processes
2, product innovation
2, program loans
2, project preparation
2, project tems and conditions
2, proposed multitranche financing facility
2, provincial roads
2, provincial roads rehabilitation
2, public commute
2, public debt management
2, public finance management
2, public governance
2, public health improvement
2, public policy
2, public private partnerships
2, public sector reforms
2, public spending
2, public transport improvement
2, public utilities
2, public�private partnership
2, pyanj river basin
2, r&d
2, rail transportation
2, railway electrification
2, railway modernization
2, railway network
2, rci transport projects
2, recommendation
2, recommendation president
2, reforestation
2, regional corridors
2, regional economic integration
2, regional power trade
2, remittances
2, renewable energy sources
2, report
2, results based lending
2, rice production
2, river basins
2, river rehabilitation
2, riverbank erosion
2, road access
2, road asset management
2, road connectivity improvement
2, road corridors
2, road infrastructure
2, road network
2, road network development
2, road networks
2, road rehabilitation projects
2, road sector
2, road transport projects
2, road transportation projects
2, roads rehabilitation
2, rrp linked document
2, rrp: 29694 ind
2, rrp: 39516 phi
2, rrp: ind 41614
2, rrp: indonesia 32507
2, rrp: lao 35304
2, rural access roads
2, rural electricity
2, rural financing
2, rural flood protection
2, rural infrastructures
2, rural livelihoods improvement
2, rural roads improvement
2, samsung
2, sasec road connectivity
2, sdgs
2, secondary education reform
2, secondary education sector development
2, sewage
2, sewage treatment
2, sewerage services
2, sewerage systems
2, shandong province
2, skills training
2, small and medium enterprise
2, small business
2, small enterprise financing
2, smallholder coffee farmers
2, sme investment
2, sme lending
2, social assistance
2, social bonds
2, social protection initiatives
2, socioeconomic development
2, solar power generation plants
2, solar power plant
2, solar-powered sewage treatment plant
2, south asia subregional economic cooperation
2, south tarawa
2, sovereign risk
2, sri
2, state highways
2, strategy
2, subsidies
2, sustainable development goals
2, sustainable electricity
2, sustainable growth
2, sustainable power supply
2, sustainable tourism
2, sustainable transport
2, sustainable urban development
2, sustainable urbanization
2, sustainable water supply
2, tajikistan power sector
2, tamil nadu
2, tboung khmum
2, technical and vocational education and training
2, technical assistance
2, technological change
2, terms conditions
2, thailand energy
2, tonle sap basin
2, tourism development
2, tourism infrastructure
2, trade finance
2, trade integration
2, trade logistics
2, trains
2, transmission infrastructures
2, transmission line
2, transport connectivity
2, transport management and policies
2, transport network improvement
2, transport projects
2, transportation and communications
2, turkmenistan
2, typhoons
2, united states
2, urban environments
2, urban health
2, urban planning
2, urban poor
2, urban solid waste management
2, urban solid wastes management
2, uttar pradesh
2, uzb
2, uzbek banks
2, uzbekistan finance
2, uzbekistan power supply
2, vaccine procurement
2, vaccines
2, vietnam uhc
2, waste water
2, waste-to-energy
2, water and sanitation
2, water distribution
2, water infrastructure
2, water pollution control
2, water services improvement
2, water supply and sanitation services
2, water supply facilities
2, water supply improvement
2, water supply infrastructure
2, water supply projects
2, water treatment
2, water treatment plant
2, water-based natural resources management
2, west bengal
2, wetlands
2, wind farm
2, women
2, yen bai
2, youth unemployment
2, zfl
2, ��
3, agricultural production and markets
3, agricultural value chains
3, agriculture development
3, approved  projects
3, approved project
3, assam
3, asset management
3, association of southeast asian nations
3, banking
3, biodiversity conservation
3, bond market
3, budget support
3, capital
3, china urbanization
3, clean energy projects
3, climate-smart agriculture
3, community development
3, construction
3, covid-19 impacts
3, curriculum development
3, development
3, disaster recovery
3, disasters
3, east timor
3, east-west economic corridor
3, economic cooperation
3, electric power
3, electric power generation
3, emergency assistance loan
3, emerging disease
3, emerging economies
3, energy efficiency improvement
3, energy mix
3, energy savings
3, energy transmission
3, environmental management plan
3, environmental protection
3, equity capital
3, equity financing
3, ewec
3, fdi
3, finance sector
3, financial management
3, financial policy
3, financial sector development
3, financial sector development strategy
3, food
